Sentimen;stemming
Negatif;['sengkok', 'oreng', 'ketapang', 'cong', 'dus', 'nodusih', 'rekomendasi']
Negatif;['pandang', 'air', 'terjun', 'ragu', 'air', 'terjun', 'tinggi', 'meter', 'jalan', 'sebentar', 'parkir', 'air', 'terjun', 'langsung', 'butuh', 'treking']
Positif;['tempat', 'nyaman', 'spot', 'foto', 'parkir', 'mobil', 'masuk', 'turun', 'tangga', 'kayak', 'destinasi', 'wisata']
Positif;['kelola', 'rujuan', 'wisata', 'hasil', 'gambar', 'ambil', 'pribadi', 'bwrkunjung', 'kesini']
Positif;['view', 'air', 'terjun', 'oke', 'akses', 'jalan', 'utama', 'fasilitas', 'oke']
Netral;['cocok', 'refreshing', 'piknik', 'tour', 'keluarga']
Negatif;['pas', 'kesini', 'alir', 'air', 'terjun', 'deres', 'banget', 'musim', 'hujan']
Positif;['parkir', 'luas', 'air', 'terjun', 'alami']
Netral;['ambil', 'foto', 'wisata', 'air', 'terjun', 'toro']
Negatif;['tukang', 'parkir', 'malak', 'dalih', 'titip', 'helm', 'helm', 'hilang', 'resiko', 'diringkes', 'tukang', 'parkir', 'taruh', 'pos', 'titip', 'bayar', 'mala', 'modus', 'titip', 'paksa', 'kecewa']
Netral;['ngopinyantai', 'cocok', 'kesini']
Positif;['kali', 'kesini', 'indak', 'bosan', 'must', 'visit', 'place', 'beautiful', 'viewing']
Negatif;['air', 'terjun', 'langsung', 'jatuh', 'laut', 'renang', 'keliling']
Positif;['baguus', 'kelola', 'masyarakat', 'moga', 'ramai']
Positif;['wisata', 'air', 'terjun', 'tepi', 'pantai', 'sejuk', 'siang', 'suasana', 'sejuk']
Positif;['katamantapp']
Netral;['lumayan']
Positif;['cocok', 'ngadem']
Positif;['suasana', 'air', 'terjun', 'pulau', 'garam', 'madura', 'camat', 'ketapang', 'kabupaten', 'sampang', 'jawa', 'timur']
Negatif;['spot', 'foto', 'banyak', 'bosan']
Negatif;['upgrade', 'wow']
Negatif;['tata', 'ulanghingga', 'tambah', 'ajaib']
Positif;['mamtaap', 'jooss', 'rugi', 'trip']
Netral;['bintang', 'dululihat', 'my', 'cennel', 'youtube']
Positif;['lokasi', 'aman', 'sahabat']
Negatif;['awat']
Positif;['moga', 'kembang']
Netral;['wisata', 'tetangga']
Positif;['akses', 'mudah']
Negatif;['kumuh']
Positif;['senang']
Netral;['lumayan']
Positif;['pandang', 'ciamik']
Positif;['lumayan', 'oke']
Netral;['kos']
Negatif;['bayar']
Positif;['bagus']
Positif;['segar']
Negatif;['butek']
Positif;['sip']
Positif;['kunjung']
Positif;['air', 'terjun', 'pinggir', 'pantailuar']
Netral;['sungai', 'jatuh', 'laut']
Netral;['kor', 'periksa', 'settong', 'deh']
Negatif;['tingkat']
Negatif;['alhamdulillahsegala', 'puji', 'allahtuhan', 'tunggalesacuma', 'dipingir', 'sampahkalau', 'urus', 'mungut', 'biaya', 'masuk', 'sih', 'sampah']
Negatif;['muas', 'layan', 'parkir', 'kena', 'mahal']
Negatif;['opening', 'sampah', 'sera']
Negatif;['kotor', 'sempit']
Positif;['tempat', 'bagus', 'banget', 'senang', 'libur', 'tempat', 'kayak', 'happy', 'air', 'terjun', 'bagus', 'banget']
Negatif;['bagus', 'bersih', 'pantai', 'rawat', 'bersih', 'indah']
Positif;['tempat', 'bagus', 'banget', 'alternatif', 'libur', 'sekolah', 'keluarga']
Positif;['pandang', 'indah', 'warung', 'makan', 'andal', 'sea', 'food', 'maknyus']
Positif;['lumayan', 'healing', 'tipis', 'budget', 'murah']
Positif;['air', 'terjun', 'bagus', 'salur', 'langsung', 'masuk', 'laut']
Positif;['pandang', 'bagus', 'nyaman']
Positif;['bagus', 'lumayan', 'bersih']
Positif;['cipta', 'tuhansangat', 'bagus']
Positif;['keren', 'bafus', 'banget']
Negatif;['lokasi', 'indah', 'pergi', 'hulu', 'polusi', 'hilang', 'indah', 'air', 'terjun']
Positif;['damai', 'indah', 'baik', 'pergi', 'matahari', 'benam', 'sayang']
Positif;['masya', 'allah', 'cipta', 'tuhan', 'indah', 'sayang', 'nikmat']
Positif;['sejuk', 'rasa', 'bawah', 'air', 'terjun', 'dengam', 'air', 'sungai', 'campur', 'air', 'laut', 'bening']
Positif;['golong', 'unik', 'tarik', 'kunjung', 'air', 'terjun', 'langsung', 'tumpah', 'satu', 'laut', 'alir', 'air', 'terjun', 'asal', 'hulu', 'sungai', 'atas', 'air', 'terjun']
Positif;['area', 'parkir', 'air', 'bersih', 'fasilitas', 'pada']
Positif;['hibur', 'restorant', 'sedia', 'karaoke']
Netral;['cerita', 'singkat', 'kenang', 'ikat']
Netral;['sumpah', 'alam', 'baik']
Positif;['bagus']
Positif;['keren']
Positif;['air', 'terjun', 'takjub']
Positif;['keren', 'banget', 'kesini', 'sore', 'hasil', 'foto', 'keren', 'masuk', 'bayar', 'parkir', 'air', 'terjun', 'turun', 'parkir', 'parkir', 'jual', 'makan', 'minum', 'leseh', 'langsung', 'view', 'arah', 'pantai']
Positif;['sngat', 'strategis', 'belah', 'jalan', 'raya', 'pandang', 'bagus', 'pagi', 'sore', 'tambah', 'desain', 'cafe', 'cantik', 'dinding', 'tangga', 'cerah']
Positif;['rugi', 'jalan', 'enak', 'akses', 'masuk', 'air', 'terjun', 'jalan', 'enak', 'air', 'terjun', 'bagus']
Positif;['wisata', 'asik', 'sederhana', 'bagus', 'selfi', 'fotoharga', 'tiket', 'masuk', 'cuman']
Positif;['lokasi', 'cocok', 'banget', 'libur', 'keluarga', 'spot', 'bagus', 'abadi', 'momen', 'senjasilahkan', 'follow', 'ig', 'bonus', 'follback']
Positif;['pantai', 'bagusada', 'makanada', 'air', 'terjun', 'laut']
Positif;['lumayan', 'bagus', 'lokasi', 'wisata']
Positif;['air', 'hijau', 'biru', 'bagus', 'kotor', 'bagus']
Negatif;['bagus', 'potensi', 'alam', 'pengololaannya', 'maksimal', 'bas', 'mandiri']
Negatif;['bagus', 'bersih', 'awat']
Negatif;['bagus', 'cuman', 'awat', 'air', 'terjun', 'langsung', 'laut', 'kali', 'sensasi', 'main', 'air', 'percik', 'air', 'terjun', 'bintang']
Negatif;['air', 'terjun', 'toro', 'air', 'terjun', 'langsung', 'temu', 'pantai', 'anda', 'tambang', 'pasir', 'pantai', 'toro', 'airterjun', 'pariwisata', 'bagus', 'pulau', 'madura', 'sayang', 'air', 'terjun', 'pantai', 'habis', 'pasir', 'sd', 'aku', 'pantai', 'toro', 'bagus']
Positif;['wisata', 'alam', 'bagus', 'didlm', 'gua', 'air', 'terjun', 'langsung', 'turun', 'dasar', 'laut', 'sungguh', 'pandang', 'bagus']
Positif;['bagus', 'bersih']
Negatif;['wisata', 'bagus', 'alami', 'sentuh', 'tarik', 'wisatawan']
Positif;['tempat', 'lumayan', 'bagus', 'cocok', 'banget', 'foto', 'long', 'exposure', 'rekomendasi', 'baik', 'sore']
Positif;['indah', 'nyaman', 'saudara', 'hayo', 'kunjung', 'biaya', 'masuk', 'parkir', 'murah', 'riah']
Positif;['air', 'terjun', 'hadap', 'langsung', 'lautview', 'sunset', 'indah', 'cek', 'ig']
Positif;['lumayan', 'bagus', 'air', 'terjunnyamau', 'musim', 'hujan', 'kemarau', 'air']
Positif;['air', 'terjun', 'bagus', 'keren', 'banget', 'cocok', 'banget', 'hilang', 'penat']
Positif;['suasana', 'alam', 'indah', 'padu', 'air', 'terjun', 'laut']
Positif;['rekreasi', 'madura', 'pinggir', 'laut', 'air', 'terjunya', 'natural', 'bagus', 'keluarga']
Positif;['libur', 'senang', 'pasang', 'keluarga', 'meikmati', 'air', 'terjun', 'indah']
Positif;['bagus', 'tempat', 'pintar', 'ambil', 'spot', 'foto']
Positif;['pandang', 'bagus', 'makan', 'enak']
Positif;['air', 'terjun', 'toro', 'ketapang', 'sampang', 'madura', 'bagus', 'banget', 'pandang']
Positif;['lumayan', 'bagus']
Positif;['bagus', 'tempat', 'sejuk']
Negatif;['bagus', 'kurang', 'sarana', 'dukung']
Positif;['pandang', 'hipnotis', 'mata', 'indah', 'alam']
Positif;['pandang', 'pantai', 'indah']
Negatif;['bagus', 'bagus', 'kelola', 'bangun']
Positif;['keren']
Positif;['sunset', 'kayak', 'bagus']
Positif;['air', 'terjun', 'indah', 'sejuk']
Positif;['bagus', 'maaf', 'ambil', 'foto']
Positif;['indah']
Positif;['tempat', 'bagus', 'sehat']
Positif;['tempat', 'bagus']
Positif;['indah']
Positif;['wisata', 'murah', 'riah']
Positif;['bagus', 'udara', 'segar']
Positif;['bagus', 'ber', 'wisata']
Positif;['indah', 'sesal']
Positif;['bagus', 'tempat']
Positif;['bagus', 'oke']
Negatif;['bagus', 'foto']
Negatif;['indah', 'gambar']
Positif;['bagus', 'duga']
Positif;['suasanax', 'indah', 'senang']
Positif;['bagus']
Positif;['tempat', 'bagus']
Positif;['bagus', 'minim', 'biaya']
Positif;['suasana', 'bagus']
Positif;['keren']
Positif;['bagus']
Positif;['bagus']
Positif;['bagus']
Positif;['bagus']
Positif;['kali', 'unjung', 'bagus', 'alam', 'tingkat', 'jadi', 'kafe', 'selamat', 'sampang']
Negatif;['tampil', 'tarik', 'gambar', 'indah', 'seolaholah', 'gambar', 'imajinasi', 'butuh', 'awat', 'bersih', 'tata', 'lengkap', 'pariwisata']
Positif;['bagus']
Positif;['bagus']
Positif;['pulau', 'madura', 'obyek', 'wisata', 'air', 'terjun', 'pikir', 'madura', 'obyek', 'wisata', 'bukit', 'kapur', 'pantai', 'madura', 'obyek', 'wisata', 'takjub', 'salah', 'satu', 'air', 'terjun', 'toro']
Negatif;['sumenep', 'air', 'terjun', 'utara', 'butuh', 'juang', 'lewat', 'hutan', 'sepi', 'bukit', 'jalan', 'lubang', 'ketapang', 'malan', 'nginap', 'spbu', 'satu', 'homestay', 'full', 'pagi', 'air']
Negatif;['nice', 'view', 'sanggup', 'turun', 'tangga', 'diexplore', 'banget', 'letak', 'jalur', 'utara', 'madura', 'banget', 'sepi', 'tempat']
Negatif;['jarangjarang', 'air', 'terjun', 'pinggir', 'pantai', 'nihreccomend', 'banget', 'kesini', 'sabar', 'jalan']
Positif;['tarik', 'hati', 'pandang', 'libur', 'keluarga', 'kesan']
Negatif;['tempat', 'kembang', 'bersih', 'bebatuannya', 'harap', 'jaga']
Positif;['viewnya', 'asyiik', 'air', 'terjun', 'langsung', 'laut', 'banyak', 'air', 'terjun', 'gunung', 'naah', 'laut']
Positif;['nyaman', 'nikmat', 'sunset']
Positif;['parkir', 'luas', 'kesini', 'mending', 'soresenja', 'sore', 'sungguh', 'pandang']
Netral;['air', 'terjun', 'langsung', 'jatuh', 'pantai']
Positif;['lokasi', 'jangkau', 'area', 'parkir', 'nyaman', 'keluarga']
Positif;['tiket', 'masuk', 'bayar', 'parkir', 'afa', 'kuliner']
Positif;['wajib', 'lihat', 'dukung', 'destinasi', 'wisata', 'alam', 'kota', 'sampang', 'ayo', 'main', 'kesana']
Netral;['air', 'terjun', 'toro', 'pinggir', 'laut', 'utara', 'pulau', 'madura', 'kota', 'ketapang', 'kabupaten', 'sampang']
Positif;['air', 'terjun', 'toro', 'tepi', 'jalan', 'raya', 'akses', 'kesana', 'mudah', 'cepat', 'turun', 'langsung', 'air', 'terjun', 'tepi', 'pantaisuasananya', 'nyaman', 'dingin']
Positif;['lokasi', 'pinggir', 'jalan', 'gampang', 'cari', 'freega', 'htm', 'bayar', 'parkir', 'enak', 'dar', 'foto', 'santai', 'keluarga', 'lengkap', 'warung', 'leseh', 'musholla', 'parkir']
Netral;['wisata', 'air', 'terjun', 'letak', 'samping', 'jl', 'ketapangsampang']
Positif;['destinasi', 'wisata', 'air', 'terjun', 'langsung', 'laut', 'lokasi', 'tarik', 'recomended', 'banget', 'keluarga', 'cinta']
Netral;['lumayan', 'habis', 'bebek', 'sinjai', 'jalan']
Netral;['kenang', 'simpan', 'sana']
Positif;['airterjun', 'tepi', 'lautsuatu', 'jarang', 'temu', 'mudah', 'jangkau', 'jalan', 'utama']
Positif;['suka', 'banget']
Positif;['air', 'terjun', 'warna', 'hijau', 'sunsetnya', 'top', 'banget']
Positif;['air', 'terjun', 'toro', 'desa', 'ketapang', 'camat', 'ketapang', 'kabupaten', 'sampang', 'jl', 'raya', 'pantai', 'utara', 'sampang', 'parkir', 'motor', 'mobil', 'luas']
Positif;['air', 'terjun', 'langsung', 'pantai', 'satu', 'daerah', 'madura', 'destinasi', 'wisata', 'langka']
Negatif;['datang', 'pagi', 'air', 'laut', 'pasang', 'air', 'bening', 'karang']
Negatif;['unikair', 'terjun', 'langsung', 'lautcuma', 'aman', 'mash', 'minim']
Positif;['mantap']
Positif;['salah', 'icon', 'wisata', 'ketapang', 'sampang', 'tempat', 'nyaman', 'santa']
Positif;['cafe', 'nikmat', 'milir', 'angin', 'laut']
Negatif;['lumayanjln', 'air', 'terjun', 'licin']
Positif;['refreshing', 'with', 'orang', 'kantor', 'keluarga']
Netral;['air', 'terjun', 'wilayah', 'sampang', 'madura', 'langsung', 'muara', 'laut', 'utara', 'madura']
Positif;['senang']
Positif;['nyaman', 'enak']
Netral;['destinasi', 'wisata', 'air', 'terjun', 'pinggir', 'pantai', 'utara', 'kabupaten', 'sampang']
Positif;['tempat', 'nyaman', 'mudah', 'jangkau']
Positif;['pengin', 'kesini', 'mantap']
Positif;['tmptnya', 'lumayan', 'okview', 'ok']
Positif;['luas', 'laut']
Positif;['rekomandasi', 'libur']
Netral;['jebur', 'sana', 'wkwk']
Positif;['air', 'terjun', 'cocok', 'short', 'vacation']
Positif;['air', 'jernih', 'banget']
Negatif;['tingkat', 'pelihara']
Positif;['adem']
Positif;['indanya', 'pandang']
Negatif;['parkir', 'mobil']
Netral;['suka', 'pantai']
Positif;['nyaman', 'sejuk']
Netral;['hibur']
Negatif;['lumayan', 'sempit']
Positif;['mantapsss']
Positif;['suka']
Netral;['tempat', 'menimbah', 'ilmu']
Positif;['pokok', 'puas']
Positif;['okey']
Positif;['mantul']
Positif;['masok']
Positif;['mantap']
Positif;['cakep']
Positif;['oky']
Netral;['transfer']
Positif;['recomended']
Negatif;['air', 'terjun', 'pandang', 'laut']
Netral;['tembak']
Netral;['salah', 'air', 'terjun', 'laut', 'baik', 'dunia']
Positif;['bagus']
Positif;['pandang', 'hadap', 'laut']
Negatif;['parkir', 'kendara', 'jalan', 'air', 'terjun', 'toro', 'aman', 'orang', 'tua', 'anak', 'anak', 'pantai', 'kotor', 'sampah', 'sera', 'kelola', 'perhati', 'bersih', 'pantai']
Negatif;['fasilitas', 'parkir', 'ok', 'air', 'kotor', 'logistik']
Negatif;['air', 'terjun', 'kotor', 'warna', 'coklat']
Negatif;['sampah']
Negatif;['sampah', 'dimanamana', 'huhu', 'kecewa']
Positif;['tempat', 'bagus', 'bagus', 'pas', 'air', 'laut', 'surut']
Positif;['tiket', 'masuk', 'murah', 'pemandanganya', 'kalah', 'bagus', 'pantai', 'pantai', 'bukit', 'hutan', 'air', 'terjun', 'pesisir', 'pantai', 'spot', 'foto', 'keren', 'senja']
Positif;['indah', 'ayo', 'lestari', 'wisata', 'alam', 'negeri', 'patut', 'jaga', 'indah', 'alam', 'buang', 'sampah', 'tempatnyajangan', 'kotor', 'bumi', 'sampah', 'dll']
Positif;['air', 'terjun', 'pinggir', 'lautpemandangannya', 'indah', 'danbagus', 'banget', 'rekomend', 'banget']
Positif;['wow', 'bagus', 'indah', 'air', 'terjun', 'pandang', 'asri', 'sejuk']
Positif;['rekreasi', 'bagus', 'libur', 'keluarga']
Positif;['bagus', 'air', 'terjun']
Positif;['pandang', 'bagus', 'udara', 'segar']
Positif;['wisata', 'indah', 'bagus']
Positif;['bagus', 'banget', 'banget', 'pengin', 'kesini']
Positif;['bagus', 'keren']
Positif;['mantabbb', 'tempat', 'keren']
Positif;['view', 'bagus']
Positif;['indah', 'sekalirekomended']
Positif;['bagusindah']
Positif;['indah']
Negatif;['harga', 'masuk', 'rp', 'orang', 'bawa', 'kendara', 'parkir', 'kena', 'biaya', 'rp', 'air', 'jernih', 'view', 'lumayan', 'bagus']
Positif;['bagus', 'indah']
Positif;['indah', 'rekomendasi', 'keluarga']
Positif;['rame', 'cari', 'kuliner', 'seru', 'air', 'terjun', 'pasang', 'kayak', 'saran', 'mandi', 'air', 'terjun', 'bayar', 'parkir', 'kendara', 'lahan', 'parkir', 'luas', 'bias', 'motor', 'mobil', 'bus', 'pariwisata']
Positif;['suasana', 'pantai', 'syahdu', 'recommended']
Positif;['tampil', 'baik']
Positif;['air', 'terjun', 'toro', 'permata', 'duga', 'kagum', 'sangka', 'temu', 'takjub', 'wilayah', 'harta', 'karun', 'pendam', 'pandang', 'air', 'terjun']
Positif;['air', 'terjun', 'toro', 'bagus', 'air', 'terjun', 'jatuh', 'langsung', 'laut', 'pandang', 'indah', 'nikmat', 'air', 'terjun', 'nikmat', 'indah', 'laut', 'lepas', 'spot', 'foto', 'bagus', 'jadi']
Positif;['wisata', 'air', 'terjun', 'toro', 'milik', 'pesona', 'indah', 'perintah', 'kabupaten', 'sampang', 'bangun', 'kawasan', 'air', 'terjun', 'toro', 'gencar', 'sayang', 'panjang', 'bibir']
Positif;['air', 'terjun', 'toro', 'letak', 'kabupaten', 'sampang', 'air', 'terjun', 'pandang', 'lumayan', 'bagus', 'matahari', 'tenggelam', 'jalan', 'lokasi', 'medan', 'lancar', 'air', 'terjun', 'toro', 'boleh', 'mandi', 'tel', 'korban', 'jiwa', 'kemah']
Positif;['pas', 'sana', 'pandang', 'kalender', 'mah', 'wkwk', 'lihat', 'foto', 'keren', 'salah', 'air', 'terjun', 'air', 'langsung', 'diterusin', 'laut', 'wow', 'hati', 'renang', 'takut', 'seret', 'laut', 'laut', 'pasang', 'worth', 'banget', 'air', 'tenang', 'bening', 'kayak', 'kristal']
Negatif;['bagustidak', 'jalan', 'parkirannyabiaya', 'masuk', 'murah', 'ribu', 'mobilhanya', 'parkir', 'panas', 'teduh']
Positif;['nice', 'bagus', 'pas', 'habis', 'hujan', 'jalan', 'licin', 'hatihati', 'man', 'teman', 'warung', 'parkir', 'lumayan', 'luas']
Positif;['air', 'terjun', 'keren', 'air', 'langsung', 'jatuh', 'pinggir', 'pantai', 'pantai', 'lumayan', 'bersih', 'akses', 'gratis', 'bayar', 'parkir', 'motor', 'ribu', 'makan']
Positif;['air', 'terjun', 'toro', 'kct', 'ketapang', 'kbt', 'sampang', 'madura', 'bagus', 'kunjung', 'all', 'turns', 'all', 'jagat', 'raya', 'att', 'best', 'air', 'satu', 'air', 'laut', 'samudera', 'air']
Negatif;['tempat', 'bagus', 'cuman', 'awat', 'sampah', 'sera']
Negatif;['nayam', 'sejuk', 'bagus', 'foto', 'keluarga', 'hujan', 'laut', 'sampah', 'rusak', 'pandang', 'mata']
Positif;['air', 'terjun', 'langsung', 'laut', 'laut', 'bersih', 'sampah', 'bagus', 'fotofoto']
Negatif;['bagus', 'sayang', 'sampah', 'air', 'terjun', 'hulu', 'mukim']
Positif;['bagus', 'banget', 'cocok', 'banget', 'spot', 'foto', 'nyantai', 'lihat', 'laut']
Positif;['air', 'terjun', 'indah', 'lokasi', 'jalur', 'pantura', 'bangkal', 'sumenep']
Negatif;['bagus', 'bersih', 'sayang', 'kamar', 'mandi', 'mushola', 'awat']
Positif;['pandang', 'bagus', 'akses', 'mudah', 'tepi', 'jalan']
Positif;['air', 'terjun', 'bagus', 'air', 'coba', 'tengok', 'atas']
Negatif;['bagus', 'pas', 'air', 'laut', 'pasang', 'sampah', 'tinggal', 'unjung']
Positif;['air', 'terjun', 'cantik', 'nikmat', 'sunset', 'air', 'terjun']
Positif;['indah', 'istimewa', 'air', 'terjun']
Positif;['suasana', 'sore', 'panas', 'mata', 'nyaman', 'pandang', 'salah', 'saty', 'cipta', 'allah', 'indah']
Positif;['tempat', 'indah', 'bersih', 'nikmat', 'sunset', 'pulau', 'madura']
Positif;['pandang', 'alam', 'bagus', 'murah', 'meriahpas', 'banget', 'libur', 'madura']
Positif;['tempat', 'bagus', 'sekalisangat', 'tarik', 'kunjung', 'wisatawan']
Positif;['air', 'terjun', 'indahlgs', 'lautlengkap', 'fasilitas', 'rumah', 'makan', 'leseh']
Positif;['bagus', 'bayar', 'parkir']
Positif;['wisata', 'bagus', 'kuliner', 'layan', 'muas', 'langgan', 'tunggu']
Positif;['bagus', 'indah', 'memuaakan']
Positif;['air', 'terjun', 'wisata', 'indah', 'pulau', 'madura', 'utara', 'tempat', 'tarik', 'wisatawan', 'foto']
Positif;['air', 'terjun', 'bagus', 'langsung', 'turun', 'laut', 'pandang', 'double', 'air', 'terjun', 'laut', 'air', 'terjun', 'parkir', 'luas', 'khawatir', 'kesana', 'mobil']
Positif;['sungguh', 'indah', 'cinptaan', 'mu', 'allah']
Positif;['pandang', 'bagus', 'cocok', 'spot', 'foto']
Netral;['wisata', 'ait', 'terjun', 'toro', 'keren', 'madura']
Positif;['pilih', 'piknik', 'murah', 'riah']
Positif;['pantai', 'keren', 'air', 'terjun', 'mini', 'sungai', 'warna', 'biru', 'jernih', 'sayang', 'sungai', 'sampah', 'rumah', 'tangga', 'popok', 'bayi', 'bungkus', 'plastik', 'banget']
Positif;['indah', 'cocok', 'santai', 'air', 'terjun', 'tepi', 'pantai', 'inda', 'jelang', 'sore', 'selatan', 'pantai', 'sore', 'matahari', 'persis', 'belah', 'barat']
Positif;['bagus', 'tingkat']
Positif;['masuk', 'daftar', 'kunjung', 'madura', 'jarang', 'air', 'terjun', 'langsung', 'laut', 'bagus', 'nikmat', 'sore', 'nikmat', 'matahari', 'tenggelam', 'put', 'your', 'visiting', 'list', 'when', 'you', 'madura', 'its', 'very', 'rare']
Positif;['pandang', 'indah', 'sulit', 'parkir', 'dukung', 'rekreasi', 'pantai', 'kirikanannya', 'tambang', 'pasir', 'laut']
Positif;['wisata', 'murah', 'pandang', 'indah']
Positif;['air', 'terjun', 'bagus', 'perhati', 'luas', 'rekreasi']
